lon,lat,proppant,output,fspac,depth,length,pint
-75.89926724295908,41.94975633901761,0,1.40318524287988,265.11538067892474,6958.638347890051,5190.466959211783,1497.2152614642505
-75.90749144696235,41.91771122787469,0,1.8372296519693834,229.85255527036912,6974.246377201298,5296.163736262163,1450.3304623616473
-75.9498356064314,41.772258590383494,0,1.95960165911901,261.8496872046488,6918.757744117526,5228.973846455132,1452.7781783830214
-75.91872445945519,41.89495641928248,0,1.5961909592141434,265.02457767441354,7125.098418695864,5341.870947485879,1506.788660968901
-75.34248487897527,41.92429550776504,0,1.6361366855233876,258.01215016271976,6873.753885834243,5148.7155853464155,1493.5459260099647
-76.69938920418838,41.82101533409167,0,1.0851106280376666,266.1732156777837,6947.6012742233,5148.575953987115,1468.0859714503833
-76.59251937013137,41.917877457310034,0,1.385150841048206,286.49162230929204,6989.990106724136,5271.677110234296,1463.6385785779933
-76.10250539923484,41.77166337141562,0,1.8721022872989987,272.3837614625354,6959.998235450371,5128.411736143935,1483.7168239540972
-75.91511863166897,42.01978961666328,0,1.6182037291111204,289.3524624126201,6917.171331408274,5218.418280878457,1406.462330826589
-75.68812491327931,42.01194524957175,0,1.7102024324331047,248.07760298025258,6829.6295309340585,5321.764688992755,1447.87758933994
-75.76104270146278,41.878550703945805,0,1.6399472739049155,267.9595145381153,6923.22278220449,5081.170227698225,1428.3796331030574
-76.04910662672786,41.933311817542574,0,2.2576011832889296,240.96209679532063,6900.841114325934,5239.026545727542,1477.4555342243316
-75.57760131907078,41.68675311739647,0,1.4708440506434197,265.95178248160954,7121.303209229095,5297.464181750808,1518.837520909171
-75.5738543445407,41.7981983803071,0,2.081623012895893,255.7229033899572,7170.220732050505,5208.129976193893,1495.3380482919688
-75.85815656869276,41.87488246644064,0,1.6400509666620198,294.1697711070511,6976.756234481178,5143.0821338134365,1457.342234025094
-75.59654705564444,41.805685230129114,0,2.1082596923742396,279.7695533287596,6863.629249449536,5191.044867385911,1449.8442413073856
-75.82839119148682,41.96451127609883,0,1.232506573222555,289.7677351213359,7042.665340677725,5149.475365326775,1448.0275892461677
-76.10865829699904,42.078563656176556,0,1.6553956622892583,265.90600968895643,6899.02872538406,5214.991863485261,1553.8488007875337
-75.68553354209601,41.796396598213306,0,1.4818939648229592,256.1514919253572,6935.115452114378,5190.027301415518,1479.6157536880305
-75.88283399081357,41.826547828450025,0,1.641841700755012,255.62532786799235,6928.458123267612,5172.95268625095,1484.6767797377581
-75.9195498114905,41.92193183083949,0,1.9667128787998385,277.38577669459914,6939.181561496495,5243.646672671336,1395.8655777413796
-75.42508759974433,42.044231447833916,0,1.7136428816073837,302.9087763937533,6951.362279186076,5323.981086287265,1431.6144544646413
-76.74349303518943,41.79232847886659,0,1.9661148070080814,279.81367369726314,6871.253787599774,5233.66221912753,1475.3022047799752
-76.3963418811736,41.92313980934534,0,1.3989336720178165,266.80782087630723,6922.345088631414,5306.986223922117,1457.8547560464635
-76.31885566326177,42.06291711043499,0,1.3531496627428852,269.8809935943564,7066.21876813321,5323.960101708475,1482.1136558991825
-76.04205557758311,41.754155308208574,0,1.60483152194118,272.48283364417057,6978.19623780712,5167.656109545488,1481.6071557243445
-76.00554834504139,41.787110385373,0,1.5884043464826745,306.4856306229412,6991.470269550599,5229.839377447309,1500.0764352685985
-76.42646141765172,41.863340525472424,0,1.5442421893527423,293.38255861221614,6794.490358679224,5179.327138927164,1405.1648326906302
-76.25101309885642,41.85471864892033,0,1.3124104822987945,277.29522766428113,7060.189579239632,5103.016925229323,1434.5241228847121
-76.20924280398391,41.973241879683876,0,1.9595954769555666,274.813069661954,6923.723182475032,5235.678936809327,1473.1717231483844
-75.09430550506254,41.92248403241152,0,1.4911488398099537,277.9461297480941,7074.9102463927065,5134.055493643469,1452.119156763025
-75.31461470555699,41.7432023229737,0,2.027823436663805,281.1667743551508,6993.890026876724,5244.957170122276,1465.0754870020294
-76.05834780434203,41.94682101563869,0,1.6038230095612176,266.1728493719781,6934.039099001123,5097.696206938448,1481.1901154398495
-76.04216398554308,41.849655637836314,0,1.7945286792442134,259.05352694953257,6840.816688197323,5222.342331083896,1448.3709140126116
-76.30613254305526,42.01430090648051,0,1.7673128928891049,290.05507771603186,7162.71355322583,5096.623973833041,1484.3892787646773
-76.56113181884366,41.84520621283569,0,1.3527175778947444,273.36321431834153,7048.113220412635,5258.639781030474,1497.9062817018166
-75.95927174263326,41.84440362810165,0,1.7101608764657468,288.67555811004615,7053.111919159187,5181.605696578913,1479.5011029765583
-76.25527826636998,41.94910768246375,0,2.178499883340132,300.19900632275545,7132.96738138375,5174.646571998373,1504.6988353831682
-75.94850977863844,41.96882569013272,0,1.675483675930107,281.60196712802974,6999.723002925697,5291.311491605694,1393.4900432436398
-76.45766916527859,41.94083692965266,0,1.8703830218679025,278.924193137563,7093.9962413567855,5186.788959226858,1454.4776466930393
-76.17602341799224,41.75114702728986,0,1.8079815533776555,325.87669195096464,6941.013898789418,5218.00137736912,1511.2938452802314
-75.87006129597825,41.948832337778505,0,1.6921148975094962,276.42053388362797,7042.6264409561745,5195.663816691167,1443.7813921313514
-75.7969535751446,41.80904794559005,0,1.655943615317424,254.98120956200574,6928.353921232453,5246.623752130931,1438.5659725328874
-75.7797294218627,41.92191651687242,0,1.7641946677363902,268.3533965824076,6938.901399067447,5285.2801083796385,1472.1472915201955
-76.36368429867674,41.77442716122416,0,1.828984763942684,298.6380390512516,6989.1046288223515,5270.316442812889,1476.3343992055754
-75.63282559467447,41.940678931560875,0,1.1943507828846782,251.61684605501495,6875.105806208143,5176.31570877452,1456.4506571591232
-76.18887113005822,41.82929174420927,0,1.6741908667289365,260.56732693843344,7008.5241774075575,5297.269408853599,1547.8517829112504
-75.70735974069196,41.78697121432255,0,1.544776635775805,291.28117106784015,6954.935149484674,5143.8574564610135,1488.010343233773
-75.92357459534371,41.96446003777356,0,1.4825419469044876,268.51209044778085,6814.934581158688,5156.407410673462,1442.300623880469
-76.38246619969017,41.92248268126611,0,1.9887893137085721,271.17844065205765,6942.7612607673445,5200.775300749286,1421.6771989363624
-76.02624242873928,41.846416234402575,0,1.3800561255808441,290.73502959122663,6952.169858741887,5285.55840180244,1492.5870193915096
-75.79723778266658,42.03001270203567,0,1.1815692819069996,261.1561704158917,7052.256515348599,5125.538084709978,1441.3899502781417
-75.71404363216054,41.86182511841761,0,1.8387148676157563,248.73470517697478,7004.828967354388,5274.347619473418,1559.7289434531426
-75.96737193354133,41.90385443643137,0,1.1738818430338334,250.05183760001592,7101.939759484863,5206.048336644253,1493.4465941624412
-75.40532229275807,41.924906943325524,0,1.021617076612431,282.61259050532965,7024.456393941391,5178.692971252392,1498.5207071232235
-75.58147638094853,41.845910459124106,0,1.8724803069969898,277.2815648635172,6934.715234829737,5289.240025503207,1486.557485004669
-76.00623578311031,41.94288495875584,0,1.6476166751687464,261.5569232082784,6976.123936608035,5152.062954920271,1520.103884805787
-75.667959071122,41.85357501943237,0,1.741815888210633,253.85362019640212,6951.919758585907,5374.980858434752,1384.942539365513
-75.2702453889768,41.86440452987834,0,1.4672717275661133,268.5293982751288,7021.77129290892,5197.249937458837,1430.7562176049541
-75.26127717413694,42.02214165596379,0,1.1846781605172942,291.4478931638667,6985.998282724353,5220.815623618772,1516.74374131517
-76.33260795995635,41.80848981875955,0,1.2442638359146998,259.19002096379114,6928.482347376881,5321.367392803356,1534.6699235829728
-76.23131512534879,41.68649900301972,0,1.518343330170615,262.05066299561094,6981.718589815912,5222.698662209304,1429.5259404773353
-75.42106728765745,42.044215520730546,0,1.2182791426245876,253.3293554393226,7019.532741655005,5295.8129476504655,1407.1068076789034
-76.27558243308142,42.12764035364266,0,1.692115872113696,266.92934277986274,6896.911086418235,5069.020377802221,1483.4381567283003
-76.36437382078599,41.864970751763025,0,1.4612626185896744,278.58598167578054,7007.486836129903,5178.053199702727,1495.6552524626313
-76.08336122791488,41.728811224512796,0,1.6555108142095918,307.94833005557547,6849.097271974818,5238.63637494176,1482.664163809128
-75.77880382561655,41.873397353548235,0,1.6465444384679293,276.5983411372515,7073.373115631826,5288.057201479356,1474.7083498013574
-75.95440529342133,41.87555420731327,0,1.7160398663273582,272.1130921456874,7025.0472107878095,5265.556951367684,1405.8299554742703
-76.13858937645627,41.884115390685444,0,1.7498447581866996,287.2580527058962,7117.130473334084,5258.796220458984,1462.5877011992438
-76.14653538713942,41.80201757629707,0,1.4968298227662267,284.5033688034684,6887.705711318125,5286.587504924256,1468.3182263125843
